Zeit          | Temp    | Hum
13-24.04.2025 | 26.0 °C | 45.0 %
14-24.04.2025 | 25.0 °C | 43.0 %
17-24.04.2025 | 25.0 °C | 42.0 %
17-25.04.2025 | 25.0 °C | 43.0 %
17-26.04.2025 | 24.0 °C | 44.0 %
17-27.04.2025 | 24.0 °C | 44.0 %
17-28.04.2025 | 25.0 °C | 44.0 %
11-29.04.2025 | 25.0 °C | 44.0 %
11-29.04.2025 | 25.0 °C | 44.0 %
11-29.04.2025 | 25.0 °C | 44.0 %
22-29.04.2025 | 25.0 °C | 43.0 %
11-30.04.2025 | 25.0 °C | 44.0 %
12-30.04.2025 | 25.0 °C | 44.0 %
12-30.04.2025 | 25.0 °C | 44.0 %
12-30.04.2025 | 25.0 °C | 44.0 %
17-30.04.2025 | 25.0 °C | 44.0 %
17-01.05.2025 | 26.0 °C | 42.0 %
17-02.05.2025 | 26.0 °C | 44.0 %
17-03.05.2025 | 25.0 °C | 45.0 %
17-04.05.2025 | 25.0 °C | 45.0 %
17-05.05.2025 | 25.0 °C | 46.0 %
17-06.05.2025 | 24.0 °C | 30.0 %
15-07.05.2025 | 26.0 °C | 39.0 %
15-07.05.2025 | 26.0 °C | 39.0 %
16-07.05.2025 | 26.0 °C | 39.0 %
16-07.05.2025 | 26.0 °C | 39.0 %
17-07.05.2025 | 26.0 °C | 40.0 %
08-08.05.2025 | 25.0 °C | 46.0 %
17-08.05.2025 | 25.0 °C | 46.0 %
17-09.05.2025 | 25.0 °C | 42.0 %
17-10.05.2025 | 25.0 °C | 42.0 %
17-11.05.2025 | 25.0 °C | 43.0 %
17-12.05.2025 | 25.0 °C | 43.0 %
17-13.05.2025 | 26.0 °C | 43.0 %
17-14.05.2025 | 26.0 °C | 43.0 %
18-14.05.2025 | 27.0 °C | 31.0 %
19-14.05.2025 | 27.0 °C | 31.0 %
19-14.05.2025 | 27.0 °C | 30.0 %
20-14.05.2025 | 26.0 °C | 29.0 %
20-14.05.2025 | 26.0 °C | 30.0 %
20-14.05.2025 | 26.0 °C | 30.0 %
21-14.05.2025 | 26.0 °C | 29.0 %
17-15.05.2025 | 25.0 °C | 29.0 %
17-16.05.2025 | 26.0 °C | 27.0 %
17-17.05.2025 | 25.0 °C | 37.0 %
17-18.05.2025 | 25.0 °C | 39.0 %
